-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   timestamp   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       message                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |                          logStreamName                           |
|---------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------|
| 1776830914026 | {"timestamp":1776830914026,"formatVersion":1,"webaclId":"arn:aws:wafv2:us-east-1:866340886126:regional/webacl/chewbacca-api-waf/23c9f10e-129a-47a4-9f86-10b0fc388715","terminatingRuleId":"Default_Action","terminatingRuleType":"REGULAR","action":"ALLOW","terminatingRuleMatchDetails":[],"httpSourceName":"APIGW","httpSourceId":"866340886126:2jed6eay3c:prod","ruleGroupList":[{"ruleGroupId":"AWS#AWSManagedRulesCommonRuleSet","terminatingRule":null,"nonTerminatingMatchingRules":[],"excludedRules":null,"customerConfig":null}],"rateBasedRuleList":[{"rateBasedRuleId":"arn:aws:wafv2:us-east-1:866340886126_MANAGED:regional/ipset/23c9f10e-129a-47a4-9f86-10b0fc388715_5c925a7f-09e6-4dfa-88f2-cc53b03860fb_IPV4/5c925a7f-09e6-4dfa-88f2-cc53b03860fb","rateBasedRuleName":"chewbacca-rate-rule","limitKey":"IP","maxRateAllowed":100,"evaluationWindowSec":300,"limitValue":"98.176.213.95"}],"nonTerminatingMatchingRules":[],"requestHeadersInserted":null,"responseCodeSent":null,"httpRequest":{"clientIp":"98.176.213.95","country":"US","headers":[{"name":"Host","value":"2jed6eay3c.execute-api.us-east-1.amazonaws.com"},{"name":"Accept-Language","value":"en-US,en;q=0.9, en-IN;q=0.001"},{"name":"sec-ch-ua","value":"\"Google Chrome\";v=\"147\", \"Not.A/Brand\";v=\"8\", \"Chromium\";v=\"147\""},{"name":"sec-ch-ua-mobile","value":"?0"},{"name":"sec-ch-ua-platform","value":"\"Windows\""},{"name":"Upgrade-Insecure-Requests","value":"1"},{"name":"Accept","value":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"},{"name":"Sec-Fetch-Site","value":"none"},{"name":"Sec-Fetch-Mode","value":"navigate"},{"name":"Sec-Fetch-User","value":"?1"},{"name":"Sec-Fetch-Dest","value":"document"},{"name":"Accept-Encoding","value":"gzip, deflate, br, zstd"},{"name":"User-Agent","value":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Viewer/99.9.8395.83"},{"name":"X-Forwarded-For","value":"98.176.213.95"},{"name":"X-Forwarded-Proto","value":"https"},{"name":"X-Forwarded-Port","value":"443"}],"uri":"/prod","args":"","httpVersion":"HTTP/1.1","httpMethod":"GET","requestId":"cNB2YHUxoAMEecA=","fragment":"","scheme":"","host":""}}                                                                                                    | us-east-1_chewbacca-api-waf_0                                    |
| 1776830963994 | {"timestamp":1776830963994,"formatVersion":1,"webaclId":"arn:aws:wafv2:us-east-1:866340886126:regional/webacl/chewbacca-api-waf/23c9f10e-129a-47a4-9f86-10b0fc388715","terminatingRuleId":"Default_Action","terminatingRuleType":"REGULAR","action":"ALLOW","terminatingRuleMatchDetails":[],"httpSourceName":"APIGW","httpSourceId":"866340886126:2jed6eay3c:prod","ruleGroupList":[{"ruleGroupId":"AWS#AWSManagedRulesCommonRuleSet","terminatingRule":null,"nonTerminatingMatchingRules":[],"excludedRules":null,"customerConfig":null}],"rateBasedRuleList":[{"rateBasedRuleId":"arn:aws:wafv2:us-east-1:866340886126_MANAGED:regional/ipset/23c9f10e-129a-47a4-9f86-10b0fc388715_5c925a7f-09e6-4dfa-88f2-cc53b03860fb_IPV4/5c925a7f-09e6-4dfa-88f2-cc53b03860fb","rateBasedRuleName":"chewbacca-rate-rule","limitKey":"IP","maxRateAllowed":100,"evaluationWindowSec":300,"limitValue":"98.176.213.95"}],"nonTerminatingMatchingRules":[],"requestHeadersInserted":null,"responseCodeSent":null,"httpRequest":{"clientIp":"98.176.213.95","country":"US","headers":[{"name":"Host","value":"2jed6eay3c.execute-api.us-east-1.amazonaws.com"},{"name":"User-Agent","value":"curl/8.19.0"},{"name":"Accept","value":"*/*"},{"name":"X-Forwarded-For","value":"98.176.213.95"},{"name":"X-Forwarded-Proto","value":"https"},{"name":"X-Forwarded-Port","value":"443"}],"uri":"/prod/python","args":"name=Chewbacca","httpVersion":"HTTP/1.1","httpMethod":"GET","requestId":"cNB-LEBvoAMESwA=","fragment":"","scheme":"","host":""}}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | us-east-1_chewbacca-api-waf_0                                    |
| 1776830998878 | {"timestamp":1776830998878,"formatVersion":1,"webaclId":"arn:aws:wafv2:us-east-1:866340886126:regional/webacl/chewbacca-api-waf/23c9f10e-129a-47a4-9f86-10b0fc388715","terminatingRuleId":"Default_Action","terminatingRuleType":"REGULAR","action":"ALLOW","terminatingRuleMatchDetails":[],"httpSourceName":"APIGW","httpSourceId":"866340886126:2jed6eay3c:prod","ruleGroupList":[{"ruleGroupId":"AWS#AWSManagedRulesCommonRuleSet","terminatingRule":null,"nonTerminatingMatchingRules":[],"excludedRules":null,"customerConfig":null}],"rateBasedRuleList":[{"rateBasedRuleId":"arn:aws:wafv2:us-east-1:866340886126_MANAGED:regional/ipset/23c9f10e-129a-47a4-9f86-10b0fc388715_5c925a7f-09e6-4dfa-88f2-cc53b03860fb_IPV4/5c925a7f-09e6-4dfa-88f2-cc53b03860fb","rateBasedRuleName":"chewbacca-rate-rule","limitKey":"IP","maxRateAllowed":100,"evaluationWindowSec":300,"limitValue":"98.176.213.95"}],"nonTerminatingMatchingRules":[],"requestHeadersInserted":null,"responseCodeSent":null,"httpRequest":{"clientIp":"98.176.213.95","country":"US","headers":[{"name":"Host","value":"2jed6eay3c.execute-api.us-east-1.amazonaws.com"},{"name":"User-Agent","value":"curl/8.19.0"},{"name":"Accept","value":"*/*"},{"name":"X-Forwarded-For","value":"98.176.213.95"},{"name":"X-Forwarded-Proto","value":"https"},{"name":"X-Forwarded-Port","value":"443"}],"uri":"/prod/python","args":"name=Chewbacca","httpVersion":"HTTP/1.1","httpMethod":"GET","requestId":"cNCDoF-IIAMEsPg=","fragment":"","scheme":"","host":""}}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | us-east-1_chewbacca-api-waf_0                                    |
| 1776831078228 | {"timestamp":1776831078228,"formatVersion":1,"webaclId":"arn:aws:wafv2:us-east-1:866340886126:regional/webacl/chewbacca-api-waf/23c9f10e-129a-47a4-9f86-10b0fc388715","terminatingRuleId":"Default_Action","terminatingRuleType":"REGULAR","action":"ALLOW","terminatingRuleMatchDetails":[],"httpSourceName":"APIGW","httpSourceId":"866340886126:2jed6eay3c:prod","ruleGroupList":[{"ruleGroupId":"AWS#AWSManagedRulesCommonRuleSet","terminatingRule":null,"nonTerminatingMatchingRules":[],"excludedRules":null,"customerConfig":null}],"rateBasedRuleList":[{"rateBasedRuleId":"arn:aws:wafv2:us-east-1:866340886126_MANAGED:regional/ipset/23c9f10e-129a-47a4-9f86-10b0fc388715_5c925a7f-09e6-4dfa-88f2-cc53b03860fb_IPV4/5c925a7f-09e6-4dfa-88f2-cc53b03860fb","rateBasedRuleName":"chewbacca-rate-rule","limitKey":"IP","maxRateAllowed":100,"evaluationWindowSec":300,"limitValue":"98.176.213.95"}],"nonTerminatingMatchingRules":[],"requestHeadersInserted":null,"responseCodeSent":null,"httpRequest":{"clientIp":"98.176.213.95","country":"US","headers":[{"name":"Host","value":"2jed6eay3c.execute-api.us-east-1.amazonaws.com"},{"name":"User-Agent","value":"curl/8.19.0"},{"name":"Accept","value":"*/*"},{"name":"X-Forwarded-For","value":"98.176.213.95"},{"name":"X-Forwarded-Proto","value":"https"},{"name":"X-Forwarded-Port","value":"443"}],"uri":"/prod/python","args":"name=Chewbacca","httpVersion":"HTTP/1.1","httpMethod":"GET","requestId":"cNCQCFiSIAMEHSA=","fragment":"","scheme":"","host":""}}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | us-east-1_chewbacca-api-waf_0                                    |
| 1776831156307 | {"timestamp":1776831156307,"formatVersion":1,"webaclId":"arn:aws:wafv2:us-east-1:866340886126:regional/webacl/chewbacca-api-waf/23c9f10e-129a-47a4-9f86-10b0fc388715","terminatingRuleId":"AWS-AWSManagedRulesCommonRuleSet","terminatingRuleType":"MANAGED_RULE_GROUP","action":"BLOCK","terminatingRuleMatchDetails":[{"conditionType":"XSS","location":"ALL_QUERY_ARGS","matchedData":["<","script"],"matchedFieldName":"name"}],"httpSourceName":"APIGW","httpSourceId":"866340886126:2jed6eay3c:prod","ruleGroupList":[{"ruleGroupId":"AWS#AWSManagedRulesCommonRuleSet","terminatingRule":{"ruleId":"CrossSiteScripting_QUERYARGUMENTS","action":"BLOCK","ruleMatchDetails":null},"nonTerminatingMatchingRules":[],"excludedRules":null,"customerConfig":null}],"rateBasedRuleList":[],"nonTerminatingMatchingRules":[],"requestHeadersInserted":null,"responseCodeSent":null,"httpRequest":{"clientIp":"98.176.213.95","country":"US","headers":[{"name":"Host","value":"2jed6eay3c.execute-api.us-east-1.amazonaws.com"},{"name":"User-Agent","value":"curl/8.19.0"},{"name":"Accept","value":"*/*"},{"name":"X-Forwarded-For","value":"98.176.213.95"},{"name":"X-Forwarded-Proto","value":"https"},{"name":"X-Forwarded-Port","value":"443"}],"uri":"/prod/python","args":"name=%3Cscript%3Ealert(1)%3C/script%3E","httpVersion":"HTTP/1.1","httpMethod":"GET","requestId":"cNCcOGajoAMEhRQ=","fragment":"","scheme":"","host":""},"labels":[{"name":"awswaf:managed:aws:core-rule-set:CrossSiteScripting_QueryArguments"}]}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | us-east-1_chewbacca-api-waf_0                                    |
| 1776831512139 | {"timestamp":1776831512139,"formatVersion":1,"webaclId":"arn:aws:wafv2:us-east-1:866340886126:regional/webacl/chewbacca-api-waf/23c9f10e-129a-47a4-9f86-10b0fc388715","terminatingRuleId":"Default_Action","terminatingRuleType":"REGULAR","action":"ALLOW","terminatingRuleMatchDetails":[],"httpSourceName":"APIGW","httpSourceId":"866340886126:2jed6eay3c:prod","ruleGroupList":[{"ruleGroupId":"AWS#AWSManagedRulesCommonRuleSet","terminatingRule":null,"nonTerminatingMatchingRules":[],"excludedRules":null,"customerConfig":null}],"rateBasedRuleList":[{"rateBasedRuleId":"arn:aws:wafv2:us-east-1:866340886126_MANAGED:regional/ipset/23c9f10e-129a-47a4-9f86-10b0fc388715_5c925a7f-09e6-4dfa-88f2-cc53b03860fb_IPV4/5c925a7f-09e6-4dfa-88f2-cc53b03860fb","rateBasedRuleName":"chewbacca-rate-rule","limitKey":"IP","maxRateAllowed":100,"evaluationWindowSec":300,"limitValue":"98.176.213.95"}],"nonTerminatingMatchingRules":[],"requestHeadersInserted":null,"responseCodeSent":null,"httpRequest":{"clientIp":"98.176.213.95","country":"US","headers":[{"name":"Host","value":"2jed6eay3c.execute-api.us-east-1.amazonaws.com"},{"name":"User-Agent","value":"curl/8.19.0"},{"name":"Accept","value":"*/*"},{"name":"X-Forwarded-For","value":"98.176.213.95"},{"name":"X-Forwarded-Proto","value":"https"},{"name":"X-Forwarded-Port","value":"443"}],"uri":"/prod/python","args":"name=Chewbacca","httpVersion":"HTTP/1.1","httpMethod":"GET","requestId":"cNDT1FgooAMEoYQ=","fragment":"","scheme":"","host":""}}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | us-east-1_chewbacca-api-waf_0                                    |
| 1776831520950 | {"timestamp":1776831520950,"formatVersion":1,"webaclId":"arn:aws:wafv2:us-east-1:866340886126:regional/webacl/chewbacca-api-waf/23c9f10e-129a-47a4-9f86-10b0fc388715","terminatingRuleId":"AWS-AWSManagedRulesCommonRuleSet","terminatingRuleType":"MANAGED_RULE_GROUP","action":"BLOCK","terminatingRuleMatchDetails":[{"conditionType":"XSS","location":"ALL_QUERY_ARGS","matchedData":["<","script"],"matchedFieldName":"name"}],"httpSourceName":"APIGW","httpSourceId":"866340886126:2jed6eay3c:prod","ruleGroupList":[{"ruleGroupId":"AWS#AWSManagedRulesCommonRuleSet","terminatingRule":{"ruleId":"CrossSiteScripting_QUERYARGUMENTS","action":"BLOCK","ruleMatchDetails":null},"nonTerminatingMatchingRules":[],"excludedRules":null,"customerConfig":null}],"rateBasedRuleList":[],"nonTerminatingMatchingRules":[],"requestHeadersInserted":null,"responseCodeSent":null,"httpRequest":{"clientIp":"98.176.213.95","country":"US","headers":[{"name":"Host","value":"2jed6eay3c.execute-api.us-east-1.amazonaws.com"},{"name":"User-Agent","value":"curl/8.19.0"},{"name":"Accept","value":"*/*"},{"name":"X-Forwarded-For","value":"98.176.213.95"},{"name":"X-Forwarded-Proto","value":"https"},{"name":"X-Forwarded-Port","value":"443"}],"uri":"/prod/python","args":"name=%3Cscript%3Ealert(1)%3C/script%3E","httpVersion":"HTTP/1.1","httpMethod":"GET","requestId":"cNDVNFQyIAMEppA=","fragment":"","scheme":"","host":""},"labels":[{"name":"awswaf:managed:aws:core-rule-set:CrossSiteScripting_QueryArguments"}]}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | us-east-1_chewbacca-api-waf_0                                    |
| 1776831548114 | {"timestamp":1776831548114,"formatVersion":1,"webaclId":"arn:aws:wafv2:us-east-1:866340886126:regional/webacl/chewbacca-api-waf/23c9f10e-129a-47a4-9f86-10b0fc388715","terminatingRuleId":"Default_Action","terminatingRuleType":"REGULAR","action":"ALLOW","terminatingRuleMatchDetails":[],"httpSourceName":"APIGW","httpSourceId":"866340886126:2jed6eay3c:prod","ruleGroupList":[{"ruleGroupId":"AWS#AWSManagedRulesCommonRuleSet","terminatingRule":null,"nonTerminatingMatchingRules":[],"excludedRules":null,"customerConfig":null}],"rateBasedRuleList":[{"rateBasedRuleId":"arn:aws:wafv2:us-east-1:866340886126_MANAGED:regional/ipset/23c9f10e-129a-47a4-9f86-10b0fc388715_5c925a7f-09e6-4dfa-88f2-cc53b03860fb_IPV4/5c925a7f-09e6-4dfa-88f2-cc53b03860fb","rateBasedRuleName":"chewbacca-rate-rule","limitKey":"IP","maxRateAllowed":100,"evaluationWindowSec":300,"limitValue":"98.176.213.95"}],"nonTerminatingMatchingRules":[],"requestHeadersInserted":null,"responseCodeSent":null,"httpRequest":{"clientIp":"98.176.213.95","country":"US","headers":[{"name":"Host","value":"2jed6eay3c.execute-api.us-east-1.amazonaws.com"},{"name":"Accept-Language","value":"en-US,en;q=0.9, en-IT;q=0.01"},{"name":"sec-ch-ua","value":"\"Google Chrome\";v=\"147\", \"Not.A/Brand\";v=\"8\", \"Chromium\";v=\"147\""},{"name":"sec-ch-ua-mobile","value":"?0"},{"name":"sec-ch-ua-platform","value":"\"Windows\""},{"name":"Upgrade-Insecure-Requests","value":"1"},{"name":"Accept","value":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"},{"name":"Sec-Fetch-Site","value":"none"},{"name":"Sec-Fetch-Mode","value":"navigate"},{"name":"Sec-Fetch-User","value":"?1"},{"name":"Sec-Fetch-Dest","value":"document"},{"name":"Accept-Encoding","value":"gzip, deflate, br, zstd"},{"name":"User-Agent","value":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Viewer/99.9.8395.83"},{"name":"X-Forwarded-For","value":"98.176.213.95"},{"name":"X-Forwarded-Proto","value":"https"},{"name":"X-Forwarded-Port","value":"443"}],"uri":"/prod/python","args":"name=Chewbacca","httpVersion":"HTTP/1.1","httpMethod":"GET","requestId":"cNDZdGujoAMElug=","fragment":"","scheme":"","host":""}}                                                                                | us-east-1_chewbacca-api-waf_0                                    |
| 1776831573732 | {"timestamp":1776831573732,"formatVersion":1,"webaclId":"arn:aws:wafv2:us-east-1:866340886126:regional/webacl/chewbacca-api-waf/23c9f10e-129a-47a4-9f86-10b0fc388715","terminatingRuleId":"AWS-AWSManagedRulesCommonRuleSet","terminatingRuleType":"MANAGED_RULE_GROUP","action":"BLOCK","terminatingRuleMatchDetails":[{"conditionType":"XSS","location":"ALL_QUERY_ARGS","matchedData":["<","script"],"matchedFieldName":"name"}],"httpSourceName":"APIGW","httpSourceId":"866340886126:2jed6eay3c:prod","ruleGroupList":[{"ruleGroupId":"AWS#AWSManagedRulesCommonRuleSet","terminatingRule":{"ruleId":"CrossSiteScripting_QUERYARGUMENTS","action":"BLOCK","ruleMatchDetails":null},"nonTerminatingMatchingRules":[],"excludedRules":null,"customerConfig":null}],"rateBasedRuleList":[],"nonTerminatingMatchingRules":[],"requestHeadersInserted":null,"responseCodeSent":null,"httpRequest":{"clientIp":"98.176.213.95","country":"US","headers":[{"name":"Host","value":"2jed6eay3c.execute-api.us-east-1.amazonaws.com"},{"name":"Accept-Language","value":"en-US,en;q=0.9, en-AL;q=0.1"},{"name":"sec-ch-ua","value":"\"Google Chrome\";v=\"147\", \"Not.A/Brand\";v=\"8\", \"Chromium\";v=\"147\""},{"name":"sec-ch-ua-mobile","value":"?0"},{"name":"sec-ch-ua-platform","value":"\"Windows\""},{"name":"Upgrade-Insecure-Requests","value":"1"},{"name":"Accept","value":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"},{"name":"Sec-Fetch-Site","value":"none"},{"name":"Sec-Fetch-Mode","value":"navigate"},{"name":"Sec-Fetch-User","value":"?1"},{"name":"Sec-Fetch-Dest","value":"document"},{"name":"Accept-Encoding","value":"gzip, deflate, br, zstd"},{"name":"User-Agent","value":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Viewer/99.9.8395.83"},{"name":"X-Forwarded-For","value":"98.176.213.95"},{"name":"X-Forwarded-Proto","value":"https"},{"name":"X-Forwarded-Port","value":"443"}],"uri":"/prod/python","args":"name=%3Cscript%3Ealert(1)%3C/script%3E","httpVersion":"HTTP/1.1","httpMethod":"GET","requestId":"cNDddGnrIAMEriw=","fragment":"","scheme":"","host":""},"labels":[{"name":"awswaf:managed:aws:core-rule-set:CrossSiteScripting_QueryArguments"}]}                                                                                 | us-east-1_chewbacca-api-waf_0                                    |
