------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   timestamp   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    message                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                    logStreamName                     |
|---------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------|
| 1777788305524 | INIT_START Runtime Version: nodejs:24.v35 Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:c2302199ed31b0efd546d792325846c2846e78ac566d3f1f711dfae134309d24                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 2026/05/03/[$LATEST]9b2aa1033f8e4c49a96d58be3e530173 |
| 1777788305677 | START RequestId: dd83eae2-e911-41f7-9f0c-591e61731291 Version: $LATEST                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 2026/05/03/[$LATEST]9b2aa1033f8e4c49a96d58be3e530173 |
| 1777788305696 | 2026-05-03T06:05:05.696Z dd83eae2-e911-41f7-9f0c-591e61731291 INFO Incoming event: {"resource":"/node","path":"/node","httpMethod":"GET","headers":{"Accept":"*/*","Host":"u5q49moozi.execute-api.us-east-1.amazonaws.com","User-Agent":"curl/8.19.0","X-Forwarded-For":"98.176.213.95","X-Forwarded-Port":"443","X-Forwarded-Proto":"https"},"multiValueHeaders":{"Accept":["*/*"],"Host":["u5q49moozi.execute-api.us-east-1.amazonaws.com"],"User-Agent":["curl/8.19.0"],"X-Forwarded-For":["98.176.213.95"],"X-Forwarded-Port":["443"],"X-Forwarded-Proto":["https"]},"queryStringParameters":{"name":"Malgus"},"multiValueQueryStringParameters":{"name":["Malgus"]},"pathParameters":null,"stageVariables":null,"requestContext":{"resourceId":"03m1ko","resourcePath":"/node","httpMethod":"GET","extendedRequestId":"cxjOxFMaIAMEDcQ=","requestTime":"03/May/2026:06:05:05 +0000","path":"/prod/node","accountId":"866340886126","protocol":"HTTP/1.1","stage":"prod","domainPrefix":"u5q49moozi","requestTimeEpoch":1777788305311,"requestId":"e3e4e429-5753-4c5d-9a54-6be6f831ad78","identity":{"cognitoIdentityPoolId":null,"accountId":null,"cognitoIdentityId":null,"caller":null,"sourceIp":"98.176.213.95","principalOrgId":null,"accessKey":null,"cognitoAuthenticationType":null,"cognitoAuthenticationProvider":null,"userArn":null,"userAgent":"curl/8.19.0","user":null},"domainName":"u5q49moozi.execute-api.us-east-1.amazonaws.com","deploymentId":"weggl0","apiId":"u5q49moozi"},"body":null,"isBase64Encoded":false}  | 2026/05/03/[$LATEST]9b2aa1033f8e4c49a96d58be3e530173 |
| 1777788305717 | 2026-05-03T06:05:05.717Z dd83eae2-e911-41f7-9f0c-591e61731291 INFO Response: {"message":"HELLO MALGUS FROM NODE!"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 2026/05/03/[$LATEST]9b2aa1033f8e4c49a96d58be3e530173 |
| 1777788305757 | END RequestId: dd83eae2-e911-41f7-9f0c-591e61731291                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 2026/05/03/[$LATEST]9b2aa1033f8e4c49a96d58be3e530173 |
| 1777788305758 | REPORT RequestId: dd83eae2-e911-41f7-9f0c-591e61731291 Duration: 79.59 ms Billed Duration: 230 ms Memory Size: 128 MB Max Memory Used: 76 MB Init Duration: 149.73 ms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 2026/05/03/[$LATEST]9b2aa1033f8e4c49a96d58be3e530173 |
| 1777789779121 | INIT_START Runtime Version: nodejs:24.v35 Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:c2302199ed31b0efd546d792325846c2846e78ac566d3f1f711dfae134309d24                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 2026/05/03/[$LATEST]64257c9268524c06824df05f44d3f2a2 |
| 1777789779270 | START RequestId: 8abb4d3d-a94c-40ea-92e0-24a023f43ea8 Version: $LATEST                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 2026/05/03/[$LATEST]64257c9268524c06824df05f44d3f2a2 |
| 1777789779279 | 2026-05-03T06:29:39.279Z 8abb4d3d-a94c-40ea-92e0-24a023f43ea8 INFO Incoming event: {"resource":"/node","path":"/node","httpMethod":"GET","headers":{"Accept":"*/*","Host":"u5q49moozi.execute-api.us-east-1.amazonaws.com","User-Agent":"curl/8.19.0","X-Forwarded-For":"98.176.213.95","X-Forwarded-Port":"443","X-Forwarded-Proto":"https"},"multiValueHeaders":{"Accept":["*/*"],"Host":["u5q49moozi.execute-api.us-east-1.amazonaws.com"],"User-Agent":["curl/8.19.0"],"X-Forwarded-For":["98.176.213.95"],"X-Forwarded-Port":["443"],"X-Forwarded-Proto":["https"]},"queryStringParameters":{"name":"Malgus"},"multiValueQueryStringParameters":{"name":["Malgus"]},"pathParameters":null,"stageVariables":null,"requestContext":{"resourceId":"03m1ko","resourcePath":"/node","httpMethod":"GET","extendedRequestId":"cxm1BEyIIAMEaeg=","requestTime":"03/May/2026:06:29:38 +0000","path":"/prod/node","accountId":"866340886126","protocol":"HTTP/1.1","stage":"prod","domainPrefix":"u5q49moozi","requestTimeEpoch":1777789778901,"requestId":"76d8d96c-ba3e-4e21-b0a2-aa67697e49ea","identity":{"cognitoIdentityPoolId":null,"accountId":null,"cognitoIdentityId":null,"caller":null,"sourceIp":"98.176.213.95","principalOrgId":null,"accessKey":null,"cognitoAuthenticationType":null,"cognitoAuthenticationProvider":null,"userArn":null,"userAgent":"curl/8.19.0","user":null},"domainName":"u5q49moozi.execute-api.us-east-1.amazonaws.com","deploymentId":"weggl0","apiId":"u5q49moozi"},"body":null,"isBase64Encoded":false}  | 2026/05/03/[$LATEST]64257c9268524c06824df05f44d3f2a2 |
